Item_id,Item_key,계란,우유,땅콩,견과류,밀,갑각류,대두,메밀,쇠고기,돼지고기,닭고기,생선,과일,Nutrition,Ingredient
0.jpg,0,0,1,1,0,1,0,1,1,1,0,1,0,0,,tably|비 고려 시대 를|홈 푸드|RASS|Home food Project|나도 명품 요리사 !|고래 사 어묵|6.5cm|김치 우동 전골|필요한 판 을 누가 유 유연|16.5cm|500ml|2 인분|200230|www.s|누|WALLERY24K|제품명 어묵 탕 한그릇 식품 의 유형 어묵 ( 유탕 처리 식품 / 비 살균 제품 / 가열 하여 섭취 하는 냉동 식품 ) 중량 2008 원재료 명 어묵 연육 ( 외국산 ( 미국 | 중국 | 베트남 등 / 어육 살 | 설탕 | D- 소비 톨 | 산도 조절제 ) | 변성 전분 | 전분 가공품 ( 감자전 분 ( 폴란 드산 ) | 타피오카 전분 ( 태국산 | 베트남 산 ) } | 파프리카 ( 중국산 ) | 부추 | 완두 ] 어우동 역상 소스 2 ( 정제수 | 설탕 | 양조 간장 ( 탈지 대두 ( 외국산 ) | 소맥 ( 미국산 ) ) | 정제 소금 ( 국산 ) | 농축 스프 베이스 ( 일본 산 ) | 가쓰오 부시 엑기스 ] 대두 | 밀 | 고등어 함유 늘푸른 바다 / 부산 광역시 사하구 다산 로 277 품목 번호 19960144406-681 매콤 볶음 김치 식품 의 유형 김치 ( 비 살균 제품 ) 가열 하여 섭취 하는 냉동 식품|제조원|제품명 원재료 명|매콤 맛김치 { 절임 배추 [ 배추 ( 국산 ) 98 % | 정제 소금 ( 국산 ) 2 % ] 71.34 % | 고춧가루 ( 중국산 7.45 % | 베트남 산 1.64 % ) | 무 ( 국산 ) | 멸치 액젓 [ 멸치 ( 국산 ) ] } 87.26 % | 콩기름 [ 대두 ( 외국산 ) ] 대두 | 밀 함유|중량 150g|제조원 제품명 원재료 명 밀가루 ( 밀 : 호주산 ) | 변성 전분 | 정제 소금 ( 국산 ) | 알긴산 프로필렌 글리콜 제조원 ㈜ 에스피 씨 삼립 / 경기도 시흥시 공단 1 대로 101 ( 정왕동 )|농업 회사 법인 주식회사 한울 / 충청남도 청양군 비봉면 작은 한 숨길 42 중량|품목 번호 19930472027392|식품 의 유형 숙면 사누끼 ( 진 )|240g|품목 번호 19950338015-5640|일 함유|제품명 | 혼합 냉동 야채 s 식품 의 유형 원재료 명 양파 ( 중국산 ) | 대파 ( 중국산 )|과채 가공품 제조원|중량 60g 품목 번호 20200385149-38 선한 에프에스 / 경기도 화성시 장안면 무봉 길 212-12 2 동|고래 사 어묵 김치 우동 전골|유통 전문 판매원 ( 주 ) 어나더 테이블 / 서울시 송파구 문정 로 4 길 34 신우 빌딩 301 호|유통 기한 별도 표시 일 까지 포장 재질 포장지 ( 어묵 | 김치 볶음 | 우동 | 야채 | 외 포장 ) : 폴리에틸렌 ( 내면 ) 내용량 640g 고객 지원실 02-403-9981 교환 장소 구입처 및 고객 지원실|보관 방법 냉동 보관 ( -18 ℃ 이하 )|- 부정 불량 식품 신고 는 국번 없이 1399|• 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상 받을 수 있습니다 . 이미 냉동 된 바 있으니 해동 후 재 냉동 하지 마시길 바랍니다 . 냉동 보관 하시고 개봉 후에 는 유통 기한 이내 라도 변질 의 우려 가 있으므로 가급적 빨리 드시 기 바랍니다 . 본 제품 은 달걀 | 우유 | 메밀 | 땅콩 | 게 | 새우 | 돼지 고기 | 복숭아 | 토마토 아황산 류 호두 닭고기 쇠고기 | 오징어 조 개류 ( 굴 | 전복 | 홍합 등 ) | 잣 을 사용한 제품 과 같은 제조 시설 에서 제조 하고 있습니다 .|맛있게 먹는 기업|1 .|김치 볶음|2 ||3 .|WAL|김치 볶음 양념 어물 물 600ml 종이컵 컵스 를|15 년|우동 면 에 대북 장 소스 매 를 넣고 중불 에서|wwww|영양 정보 100 영양 정보 10 영양 정보 100|송내 용량 200g|총 내용량 240g|송내 용량 150g|어묵 한그릇 내용량 당 나트륨 탄수화물 당류|1 일 영양 성분|사누끼 륨 ( 진 )|기준치 에 대|매콤 볶음 김치 내용|www . 기준치 에 대|84898|SOU|158590g|79 %|기대|USS|380 mg 19 %|나트
1.jpg,1,0,1,0,0,1,0,1,0,1,0,1,0,0,,33|2|상상|춘천 국물|닭 갈비 떡볶이|6.5cm|6.5cm|16.5cm|500ml|12cm|355ml|국|200g 198.77 % 50g|㈜ 산돌 식품 / 강원도 홍천군 홍천읍 설악 로 1009-9 (033)435-1010|유통 전문 판매원|유통 기한 용기 ( 포장 ) 재질|전면 표시 일 까지 내용량 950g|닭 갈비 | 떡 | 소스 | 외 포장 : 폴리에틸렌 ( 내면 ) | 용기 : PP|제품명 33 춘천 닭 갈비 중량 700g 품목 보고 번호 2015037903210 축산물 가공 유형 양념육 ( 비 살균 식품 / 가열 하여 섭취 하는 냉동 식품 ) 제조원 금보 식품 / 강원도 춘천시 신북읍 덕 2 길 68 (033)254-1439|닭고기 60 % ( 국내산 / 어깨 살 ) | 양배 추 21 % ( 국내산 ) | 고구마 10 % ( 국 원재료 명 내산 ) | 간장 | 양파 | 고춧가루 | 마늘 | 설탕 | 생강 | 카레 ||소주 | L- 글루탐산 나트륨 ( 향미 증진제 ) | 후추 가루 | 소금 닭고기 | 대두 | 밀 | 쇠고기 | 우유 | 토마토 | 조개류 ( 굴 ) 함유|제품명 33 일 떡볶이 중량 200g 품목 보고 번호 20030394159321 식품 유형 떡류 ( 가열 하여 섭취 하는 냉동 식품 ) 제조원 ㈜ 산돌 식품 / 강원도 홍천군 홍천읍 설악 로 1009-9 (033)435-1010 원재료 명 밀가루 ( 밀 : 호주산 ) 98.77 % | 정제 소금 밀 함유 제품명 33 닭 볶이 소스 중량 50g 품목 보고 번호 20120394004120 식품 유형 소스 ( 살균 제품 / 가열 하여 섭취 하는 냉동 제품 ● 제조원 아람 식품 / 강원도 홍천군 홍천읍 설악 로 1009-10 (033)435-1010|설탕 | 정제수 | 고추장 [ 소맥분 ( 밀 / 미국산 | 호주|산 ) | 밀쌀 | 정제 소금 | 종국 | 물엿 | 고추 양념 | 혼합 양념 분말 | L- 글루탐산 나트륨 ( 향미 증진제 ) | 알파 탈지 대두 분 | 혼합 미분 | 소르빈산 칼륨 | 정제|원재료 명 ㈜ ) | 무우 ( 국산 ) | 고춧가루 ( 중국산 ) | 양파 ( 국 산 ) | 진간장 | 멸치 추출 농축액 | 쇠고기 진국 다시 | 정제 소금 | 마늘 | 변 성 전문 | 야채 맛 씨즈 닝 분말 | 양조 식초 | 쇠고기 풍미 분말 | 구운 양파 분 | 쇠고기 페이스트 | 파프리카 추출 색소 | L- 글루탐산 나트륨 ( 향미 증진 | 제 ) | 씨즈 닝 오일 | 지미 베이스 분말 | 대파 밀 | 대두 | 쇠고기 함유|고객 상담실 033-435-7540 교환 장소 보관 방법 -18 ℃ 이하 냉동 보관|구입처 및 판매원|춘천 국물 닭 갈비 떡볶이
11.jpg,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.5cm|n|-|16.5cm|E|Has|500ml|FURSTEL|( 귤 림원 ) 당도 선별 GAP 하우스 감귤 1kg|귤림 元|72845|취급자 : 우진 푸드|산지 : 제주 서귀포시|Cound|규격 : 팩|GAP|생산자 : 제주 감귤 농협|( 우수 관리 인증 )|주소 : 제주 서귀포시|농림 축산 식품부|( 사 ) 한솔 동림|수산 식품 인증 센터|귤 림원 GAP 당도 선별 하우스 감귤
12.jpg,12,0,0,0,0,1,0,1,0,0,0,0,0,0,,6.5cm|6.5cm|승희 옛날 소 불고기 5308|가든|엔진 고기 가|비 양념 기|부드러운 경|② 6|16.5cm|500ml|양 하는|호주산 수|12cm|355ml|숭의 가든 옛날 소 불고기 내용량 530g 축산물 가공품 의 유형 양념육 ( 비 살균 제품 ) 품목 보고 번호 2017018900912 제조원 / 주소 / 전화 번호 ㈜ 까르네 / 인천 광역시 미추홀 구 방축 로 312 | 301 호 ~ 305 호 / 032-887-6666 | 반품 및 교환 장소 유통 기한 | 별도 표시 일 까지 ( 내면 필름 ) 보관 방법 -18 ℃ 이하 냉동 보관 포장 재질 ( 내면 )|제품명|판매원 및 구입처|용기 | 필름 ( 폴리 프로필렌 )|소고기 ( 목심 : 호주산 ) 60.07 % | 혼합 간장 { ( 탈지 대두 ( 인도 | 미국 | 중국산 ) | 소맥 ( 밀 : 미국산 ) } 10.34 % | 설탕 ( 유기농 사탕 수 수당 : 외국산 ) 8.24 % | 배 ( 국내산 ) 8.08 % | 양파 ( 국내산 ) 6.47 % | 미향 | 소주 | 마늘 | L- 글루탐산 나트륨 | 천연 색소 | 연근 분말 | 볶은 동깨 | 후추 가루 | 카카오 분말 소고기 | 밀 | 대두 함유|원재료 명 및 함량|· 부정 / 불량 축산물 신고 는 국번 없이 1399 ㆍ 이미 냉동 된 바 있으니 해동 후 다시 냉동 하지 마세요 . 개봉 한 제품 은 변질 의 우려 가 있으니 가능한 빨리 조리 하여 드 시기 바랍니다 . 충분히 가열 후 완전히 익혀 드 십시오 . 고기 가 아주 얇게 컷팅 되어 있기 때문에 | 제품 완성 후 내부 에서 자연스럽게 부스러 진 고기 가 생길수 도 있습니다 . 기타 잡육 을 넣은 것이 아니니 안심 하고 드세요 .|주의 사항|불고기 볶음 으로 조리 시|1. 냉장실 에서 완전히 자연 해동 해주세요 . 2. 개봉 후 고기 와 양념 을 적당히 버무려 주세요 . 3. 예열 된 후라이 팬 에 고기 만 건져내 어 볶아 주세요 . 이때 양파 를 함께 볶아 주시면 더욱 맛있게 드실 수 있습니다 .|뚝배기 불고기 로 조리 시|조리법|1. 냉장실 에서 완전히 자연 해동 해주세요 . 2. 개봉 후 고기 와 양념 을 적당히 버무려 주세요 3. 뚝배기 나 냄비 에 고기 와 양념 을 넣고 끓여 주세요 . 양념 의 양 이 많으니 우선 절반 정도만 넣고 조리 해주세요 . 4. 끓기 시작 하면 야채 와 버섯 | 당면 을 함께 넣고 조금 더 끓여 주시면 더욱 맛있게 드실 수 있습니다 .|!! 급하게 해동 해야 할 경우 | 전자 레인지 에 돌리지 마시고 차가운 물 에 포장 된 팩 에 넣어 해동 해주세요 .|숭의 가든 옛날 소 불고기
13.jpg,13,1,1,1,0,1,0,1,1,1,0,1,0,0,,지출 명세 감자 옹심 이|- 감자 옹심 이 칼국수|다 . 생강 자를 강원도 전통 방식 으로|DEN|은|오늘|바른|맛집|6.5cm|10|것은 실제|16.5cm|500ml|냉동 식품|국수 5349|( C|10 분|20|제품명 식품 의 유형 내용량|감자 옹심 이 칼국수|유통 기한|별도 표기 일 까지|보관 방법 품목 보고 번호 20200280359110 소비자 상담실 070-4607-1006|간편 조리 세트 / 가열 하여 섭취 하는 냉동 식품 562 g|냉동 보관 ( -18 ℃ 이하 )|| 감자 칼국수 ( 밀가루 ( 밀 : 호주산 ) | 감자 ( 국산 ) | 카사바 전분 ( 태국산 ) | 변성 전분 | 정제 소금 ( 국내산 ) | 면류 첨가 알카리 제 | 기타 식용 유지 | 주정 | 감자 옹심 이 { 감자 ( 국내산 ) | 감자전 분 ( 외국산 : 독일 | 덴마크 | 폴란드 등 ) | 양파 ( 국내산 ) | 재제 소금 | 소스 [ 정제수 | 복합 조미 식품 1 ( 정제염 ( 국내산 ) | | 쇠고기 양념 분말 ( 중국산 ) } | 복합 조미 식품 2 ( 정제염 ( 국산 ) | L- 글루탐산 나트륨 ( 향미 증진제 ) | 가공 소금 ( 국내산 ) | 야채 혼합 농축액 ( 중국산 ) ] | 애호박 | 대파 | 조미 김 | 참깨|원재료 명|밀 | 대두 | 쇠고기 | 우유 함유|㈜ 팜앤 / 경기도 성남시 중원구 사기막골 로 137 | 중앙 인더스피아 5 차 101|102|105 ~ 107|406-408 호 ( 상대원동 )|● 제조원|반품 및 교환|구입처 및 제조원|포장 재질 폴리에틸렌 ( 내면 ) | 폴리 프로필렌 ( 용기 )|※ 본 레시피 는 1 인분 기준 으로 작성 되어 있습니다 . 충분히 해동 후 조리 해 주세요 .|※ 계란 1 개 를 꼭 준비 해주세요 !|1. 냄비 에 옹심 이 소스 와 물 700g 을 넣고 소스 가 잘 풀어 지도록 저은 후 끓여 주세요 .|2. 해동 된 칼국수 면 1 팩 을 전분 을 털어 내고 뭉치지 않도록 잘 풀어서 넣고 ||옹심 이 1 팩 을 넣은 후 3 분간 센불 에서 끓여 주세요 .|3. 대파 | 애호박 은 각 1/2 의 분량 을 넣고 추가 로 2 분간 더 끓 입니다 .|4. 별도 의 그릇 에 계란 1 개 를 잘 풀어 놓고 계란 물 을 옹심 이 칼국수 위에 돌려 가며 올리고 골고루 섞어 준 후 보글 보글 끓으 면 불 을 끕니다 .|조리 방법|5. 그릇 에 조리 된 칼국수 를 옮겨 담고 김 가루 와 깨 를 올려 마무리 합니다 .|※ 대파 | 애호박 은 2 인분 기준 1 팩 으로 포장 되어 있습니다 . 2 인분 을 한꺼번에 끓여|드시는 것을 권장 하오나 | 1 인분 조리 시 1/2 만 넣어 드 시기 바랍니다 .|※ 2 인분 조리 시 물 은 1|200g 을 기준 으로 넣 습니다 .|※ 불 조절 이 잘 안되어 육수 가 너무 졸 았다면 물 을 조금 더 넣고 끓여 드세요 .|※ 조리 환경 에 따라 불의 세기 와 조리 시간 을 조절 해 주세요 .|※ 얼어 있는 면 을 바로 넣고 끓일 경우 면 이 엉켜 붙 거나 끊어 질 수 있으니 반드시 충분히 해동 후 조리 해 주세요 .|• 이 제품 은 알류 | 메밀 | 땅콩 | 고등어 | 게 | 새우 | 돼지 고기 | 복숭아 | 토마토 | 아황산 류 | 호두 | 닭고기 | 오징어 | 조개류 ( 굴 | 전복 | 홍합 포함 ) | 잣 을 사용한 제품 과 같은 시설 에서 제조 하고 있습니다 .|• 이미 냉동 되었으니 해동 후 다시 냉동 하지 마십시오 .|- 구입 즉시 냉동 보관|• 용기 모서리 가 날카 로울 수 있으니 주의 바랍니다 .|• 개봉 한 제품 은 변질 의 우려 가 있으니 바로 드 시기 바랍니다 .|• 제품 에 포함 된 채소류 는 조리 전 흐르는 물 에 깨끗이 씻어 조리 하십시오 .|• 전자 레인지 를 사용 하여 조리 하지 마십시오 .|- 반품 및 교환 장소 : 구입처 및 제조원|전산|- 본 제품 은 소비자 기본법 에 따른 소비자 분쟁 해결|기준 에 의거 교환 또는 보상 받을 수 있습니다 .|OTHER|**|- 부정 불량 식품 신고 는 국번 없이 1399|바른 식|시골 
14.jpg,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"포장 재질 포장지 ( 내면 - 폴리에틸렌 ) 식품 유형 양념육 품목 보고 번호 199804760021305 유통 기한 별도 표기 일 까지 |총 내용량 500g |㈜ 하림 / 전라북도 익산시 망성면 망성 로 14 |100g 당 110kcal 100g 당 |하림 |- 1 일 영양 성분 기준치 에 대한 비율 16%|080-259-2000 ( 수신자 요금 부담 ) |나트륨 310mg 탄수화물 79 |동물 복지 인증 닭고기 ( 가슴살 / 국내산 ) 84.4%|, 정제수 , 식물성 유지 ( 호주산 ) , 원재료 명과 복합 조미 식품 , 정제 소금 ( 국내산 ) , 흑후추 , 혼합 제제 ( 초산 나트륨 , 푸마르산 , 팜유 , 글리세린 지방산 에스테르 ) , 파슬리 닭고기 함유%|2%|당류 1g 지방 3.2g |1%|함량 |6%|6%|자연 을 담은 건강 먹거리 |트랜스 지방 |자연 |포화 지방 0g 콜레스테롤 50mg 17%|단백질 13g%|0%|• 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상 받을 수 있습니다 . . 본 제품 은 알류 , 우유 , 메밀 , 땅콩 , 대두 , 밀 , 고등어 , 게 , 새우 , 돼지 고기 , 복숭아 , 토마토 , 호두 , 쇠고기 , 오징어 , 조개류 , 아황산 류 , 잣 을 사용한 제품 과 같은 시설 에서 제조 하였습니다 . 이미 냉동 된 바 있으니 해동 후 재 냉동 하지 마시길 바랍 니다 . 반품 및 교환 장소 : 구입처 및 제조원 • 부정 · 불량 식품 신고 는 국번 없이 1399 - 주의 사항 |동물 복지 동물성 그대로 자유롭게 건강 합니다 . |實錄 |24%|1 일 영양 성분 기준치 에 대한 비율 (%|) 은%|IFF |- 조리 시 자리 를 뜨지 마시고 조리 과정 을 확인 하십시오 - 조리 시 부주의 로 인한 화상 에 주의 하십 시오 . - 조리 후 바로 드실 경우 제품 과 용기 가 뜨거우 니 주의 하십시오 . - 뼈 가 있을 수 있으니 드실 때 주의 하시기 바랍니다 . |오리지널 |www.har",하림|6.5cm|자연 을 담은 건강 먹거리|자연|16.5cm|實 綠|동물 복지|500ml|동물성 그대로 자유롭게 키워 건강 합니다 .|IFF|오리지널|500g|제품명 보관 방법 영업장 의 명칭 과 소재지 소비자 상담실|동물 복지 IFF 큐브 닭 가슴살 오리지널 -18 ℃ 이하 냉동 보관|내용량|500g
15.jpg,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,L|L'grow|씻어 나온 완전미|고시히카리 &|PIN BOL|입니다|DOME|6.5cm|6.5cm|4kg|16.5cm|500ml|12cm|355ml|양곡 관리법 에 의한 포장 양곡 표시 사항|품목 쌀|품종 | 고시히카리|원산지 국내산|중량 | 4kg|등급|상 | 보통|생산 연도|별도 표기|* 도정 연월일 별도 표기|주소|경기도 안성시 일죽면 방초 산단 로 20|판매원|상호명 | 롯데 상사 ( 주 ) 안성 공장 전화 번호 ( 02 ) 3459-9600|씻어 나온 완전미 고시히카리
16.jpg,16,0,1,1,0,1,0,1,1,0,0,1,0,0,,6.5cm|6.5cm|PR 강남 면옥|16.5cm|| 500ml|갈비탕|12cm|355ml|1|000 g|호주산 성정 으로 정상|진짜 육수 의 풍성한 맛 !|1-2|품|명 강남 면옥 갈비탕|내|| 식품 유형 즉석 조리 식품 ( 가열 후 섭취 냉동 식품 / 냉동 전 가열 제품 )|량 1|000g|품목 보고 번호 F1.1994020521192 / F2 1996020810040 알레르기 유발 물질 대두 | 밀 | 우유 | 소고기 함유 원료 및 함량 정제수 | 소갈비 ( 호주산 ) 30 % | 혼합 간장 [ 탈지 대두 ( 외국산 : 인도 | 미국 | 중국 등 ) | 소맥 ( 밀 : 미국|산 ) 9.61 % | 대파 ( 국산 ) 4 % | 설탕 | 팽이 버섯 | 무 | 복합 조미 식품 | 혼합 간장 2 | 양파 | 대추 | L- 글루 탐 산 나트륨 ( 향미 증진제 ) | 정제 소금 | 마늘 | 혼합 제제 [ L- 글루탐산 나트륨 ( 향미 증진제 ) | 5- 이노신 산이 나트륨 | 구아닐산 이 나트륨 ] 건조 다시마|유통 기한 제품 에 별도 표기 일 까지 [ 포장 재질 용기 ( PP ) 상단 필름 ( PE ) 보관 방법 -18 ℃ 이하 냉동 보관 ( 해동 후 재 냉동 하지 마십시오 ) 제조 원 F1 . 모닝 에버 식품 / 인천 광역시 계양구 장 제로 863 번길 9 ( 임학동 ) TEL.032-548-1791|F2 엠에스 푸드 주식회사 / 인천 광역시 서구 소담 2 로 10 | 엠에스 푸드 ( 주 ) 3 층 ( 금곡동 ) TL . 1577-4833|유통 전문 판매원 강남 F & D / 대전 광역시 서구 남선 로 31-12 TEL 070-8267-1148 반품 및 교환 장소 구입처 및 제조 / 판매원|| 소비자 상담 번호 070-8267-1148|◆ 본 제품 은 알류 ( 가금류 에 한함 ) | 메밀 | 땅콩 | 돼지 고기 | 고등어 | 게 | 새우 | 복숭아 | 토마토 | 아황산 류 호두 | 닭고기 | 오징어 | 조개류 전복 | 홍합 | 굴 포함 ) | 잣 을 사용한 제품 과 같은 제조 시설 에서 제조 하고 있습니다 .|◆ 제품 조리 시 | 조리 후 | 바로 드실 때 내용물 이 뜨거우 니 화상 에 주의 하시기 바랍니다 .|● 개봉 할 때 내용물 이 넘치지 않도록 주의 하시기 바라며 | 냉동 보관 을 준수 하지 않을 경우 유통 기한 내에 도 변질 할 수 있으니 주의 하십시오 .|◆ 유통 기한 이 지난 제품 은 변질 의 우려 가 있으니 드시 지 마십시오 .|이미 냉동 된 바 있으니 해동 후 재 냉동 시키지 마시길 바랍니다 .|◆ 본 제품 은 뼈 에 의한 치아 의 손상 이 있을 수 있으니 섭취 시 유의 하시기 바랍니다 .|◆ 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상 받을 수 있습니다 .|◆ 부정 · 불량 식품 신고 는 국번 없이 1399|강남 면옥 갈비탕
17.jpg,17,0,1,1,0,1,0,1,0,1,0,1,0,1,,7.5cm|초벌 막창 구이|엄선한 작동 을 시작|신음 으로|국내산|누구나 간단 하게 즐길 수 있는|XEM|300g|MARKET|Kurly | 14cm|제품명 | 막창 소스|품목 제조 보고 번호 201905640607|식품 의 유형|소스 ( 비 살균 제품 )|유통 기한 보관 방법 포장 재질 제조원|전면 표기 일 까지|-18 ℃ 이하 냉동 보관|폴리에틸렌 ( 내면 )|( 주 ) 와룡 식품 경산 공장|경상북도 경산시 압량 읍 신월 길 5 길 50|유통 전문 판매원|( 주 ) 어니스트 리테일|인천 광역시 연수구 송도 과학 로 16 번길 13-18|730 호 ( 주 ) 컬리|O|판매원|서울 특별시 강남구 도산 대로 16 길 20 / 1644-1107|반품 및 교환 원재료 및 함량|구입처 및 판매원|된장 ( 대두 ( 국내산 ) | 밀쌀 ( 국내산 ) | 정제 소금 ( 국내산 ) ||주정 | 종국 | 정제수 ] 24.0 % | 정제수 | 땅콩 가루 ( 국내산 ) 5 % | 누룽지 ( 국내산 ) 1.0 % | 대두 분 ( 국내산 ) | 고춧가루 ( 국내산 ) | 통깨 ( 국내산 ) 대두 | 땅콩 함유|& p|* 본 제품 은 이미 냉동 된 바 있으니 해동 후 재 냉동 시키지 마십시오 .|* 본 제품 은밀 . 돼지 고기 | 쇠고기 | 닭고기 를 사용한 제품 과 같은 제조 시설 에서 제조 하고 있습니다 .|* 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상 받을 수 있습니다 .|( 부정 / 불량 식품 신고 는 국번 없이 1399 )|제품명 | 대구 막창|보관 방법|-18 ℃ 이하 냉동 보관|품목 제조 보고 번호 2019053600517|포장 재질 양념육 ( 비 살균 제품 ) 제조원 가열 하여 섭취 하는 냉동 축산물 축산물 유통 ( 주 ) 어니스트 리테일 구입처|내 포장 ( 폴리에틸렌 / 폴리 프로필렌 ) | 외 포장 ( 종이 )|축산물 가공품 의 유형|경상북도 경산시 압량 읍 신월 길 5 길 50 ( 주 ) 와룡 식품|반품 및 교환 유통 기한|전문 판매원 인천 광역시 연수구 센트럴 로 415 | 108 동 1506 호|내 포장 의 전면 표기 일 까지|원재료 및 함량|돼지 막창 ( 외국산 : 미국 | 프랑스 | 네델란드 등 ) 96 % | 키위 즙 ( 외국산 : 뉴질랜드 | 칠레 | 이탈리아 등 ) 1.4 % | 마늘 ( 국내산 ) 0.8 % | 소스류 ( 정제수 | 유기산 | 과일 유산균 배양액 [ 사과 ( 국내산 ) | 귤 ( 국내산 ) | 배 ( 국내산 ) | 양파 ( 국내산 ) | 파인애플 ( 필리핀 ) | 중 백당 ] | 무즙 ( 국내산 ) } | 건조 옥수수 ( 국내산 ) | 정제 소금|돼지 고기 함유|조리 방법 제품 을 해동 하신 뒤 충분히 가열 한 후 섭취 하십시오 .|* 본 제품 은 이미 냉동 된 바 있으니 해동 후 재 냉동 시키지 마십시오 .|* 본 제품 은 쇠고기 | 닭고기 | 대두 | 밀 | 땅콩 | 새우 | 우유 를 사용한 제품 과 같은 제조 시설 에서 제조 하고 있습니다 .|* 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상|받을 수 있습니다 . ( 부정 / 불량 식품 신고 는 국번 없이 1399 )|미트 클레버 대구 막창 ( 300g )
19.jpg,19,0,1,0,0,0,0,0,0,0,0,0,0,0,,6.5cm|16.5cm|500ml|GOO|-|BURRA|4/201|* 제품명 : 부라 타 ( Belgioioso Burrata )|원산지 : 미국|* 식품 의 유형 : 치즈 ( 72 ℃ | 15 초 이상 살균 제품 )|* 제조원 : BelGioioso Cheese INC .|플라스틱|| * 수입 판매원 : 르구 르망 주식회사 ( 031557-6860 경기도 구리시 동구릉 로 214 가동 ( 인창동 ) PP|* 원재료 명 : 우유 | 크림 ( 우유 ) | 증류 식초 | 응유 효소 | 소금 우유 함유|실링 필름 :|* 충진 수 ( 소금 | 정제수 ) ※ 제품 보존 | 보호 의 목적 으로 주입 되었으며 | 섭취 해도 무방 합니다 . 냉장 제품|* 보관 방법 : 냉장 보관 ( 0 ℃ ~ 10 ℃ ) * 반품 및 교환 : 구입처 및 수입원 * 포장 재질 : 폴리 프로필렌 영양 정보 총 내용량 2269 | 100g 당 246kcal|| 나트륨 213mg 11 % | 탄수화물 3.55g 1 % 당류 0g 0 % 지방 20.62g 38 % | 트랜스 지방 0.3g | 포화 지방 14.12g 94 % | 콜레스테롤 63.9mg 21 % | 단백질 11.53g 21 % 1 일 영양 성분 기준치 에 대한 비율 ( % ) 은 2|000kcal 기준 이므로 거인 의 필요 열량 에 따라 다를 수 있습니다 . * 유통 기한 : 제품 별도 표기 일 ( BEST BY * 월 / 일 / 년 ) 까지 * 내용량 : 226g ( 555kcal ) ( 읽는 법 : * JAN 1 월 | FEB 2 월 | MAR 3 월 | APR 4 월 | MAY 5 월 | JUN 6 월 | JUL 7 월 | AUG 8 월 | SEP 9 월 | OCT 10 월 | NOV 11 월 | DEC 12 월 )|* 부정 · 불량 식품 신고 는 국번 없이 1399 * 개봉 후 냉장 보관 하거나 빨리 드 시기 바랍니다 .|* 본 제품 은 공정 거래 위원회 고시 소비자 분쟁 해결 기준 에 의거 교환 또는 보상 받을 수 있습니다 .|벨 지오이 오소 부라 타 치즈
